datetime,tamin_degC,tamax_degC,ptot_mm
1987-12-30,-34.65717438,-23.282496719360353,0.0
1987-12-31,-28.64618805,-16.24043395996094,2.221017837524414
1988-01-01,-24.11745766,-12.58563449859619,0.6051108837127686
1988-01-02,-28.32022789,-21.428941040039064,0.21599270403385162
1988-01-03,-30.8006356,-24.588616638183595,0.0
1988-01-04,-30.60261467,-15.419854431152343,3.3174548149108887
1988-01-05,-20.61878326,-12.17052677154541,0.0
1988-01-06,-19.36175087,-16.010835914611818,2.210392951965332
1988-01-07,-29.05562523,-17.15746047973633,0.05736421421170235
1988-01-08,-29.7441037,-21.541041641235353,0.05416087806224823
1988-01-09,-29.95750931,-22.139966278076173,0.0
1988-01-10,-29.64783409,-22.913081436157228,0.0
1988-01-11,-30.42706993,-20.528342514038087,0.02548609860241413
1988-01-12,-32.54068306,-22.705849914550782,0.049364376813173294
1988-01-13,-39.63400772,-28.010934143066407,0.02519713155925274
1988-01-14,-36.83558395,-28.480935363769532,0.2317982316017151
1988-01-15,-31.05676201,-26.331263809204103,2.6668028831481934
1988-01-16,-34.29493454,-25.71034553527832,2.6610190868377686
1988-01-17,-30.39748505,-8.222654132843017,2.16344952583313
1988-01-18,-25.88291672,-11.617018966674804,0.3480697572231293
1988-01-19,-32.02699974,-21.234145431518556,1.6818230152130127
1988-01-20,-27.64478043,-17.176656036376954,0.0015534813283011317
1988-01-21,-28.63886765,-14.743335037231445,0.02608419768512249
1988-01-22,-32.15643433,-24.493619232177736,0.0
1988-01-23,-41.16459396,-28.55995300292969,0.0
1988-01-24,-40.96741608,-30.275931625366212,0.0
1988-01-25,-40.24196747,-27.20609977722168,0.0
1988-01-26,-36.15177277,-24.51130989074707,0.0
1988-01-27,-34.42381409,-23.487143783569337,0.4541388154029846
1988-01-28,-33.14294937,-24.298264770507814,0.0
1988-01-29,-32.1437867,-21.451749114990236,1.6569392681121826
1988-01-30,-34.62550476,-15.764857559204101,0.5834614634513855
1988-01-31,-38.91588333,-30.06602409362793,1.6370254755020142
1988-02-01,-37.98665741,-24.202828674316407,0.06522364914417267
1988-02-02,-28.64577606,-20.407822875976564,0.95899897813797
1988-02-03,-32.76840714,-26.096366195678712,0.0
1988-02-04,-32.79961899,-25.527583389282228,0.0
1988-02-05,-34.71380356,-27.74873474121094,1.5878320932388306
1988-02-06,-37.10372284,-27.42066505432129,0.02940055914223194
1988-02-07,-36.49208954,-29.255730895996095,0.0
1988-02-08,-35.76312759,-27.342280654907228,0.021467676386237144
1988-02-09,-35.03634766,-28.32379463195801,0.0
1988-02-10,-37.68456009,-29.138240127563478,0.0
1988-02-11,-37.24612549,-24.535828857421876,0.205494225025177
1988-02-12,-30.16449097,-23.694226531982423,2.022737741470337
1988-02-13,-29.05395248,-17.819806365966798,0.0
1988-02-14,-27.15521553,-15.79612377166748,0.13881848752498627
1988-02-15,-40.40775421,-24.04972007751465,0.21298576891422272
1988-02-16,-41.49214676,-31.73498275756836,1.901106834411621
1988-02-17,-35.18690613,-21.296510009765626,0.2514120936393738
1988-02-18,-26.6137059,-15.837896614074706,0.45328113436698914
1988-02-19,-26.97140625,-12.818079261779785,0.2867787480354309
1988-02-20,-27.63390663,-5.408776073455811,3.245199203491211
1988-02-21,-38.74069717,-26.554286270141603,0.030276678502559662
1988-02-22,-34.96318558,-25.27152183532715,0.08146810531616211
1988-02-23,-32.05307701,-14.38805606842041,1.367501139640808
1988-02-24,-34.44282272,-24.13441589355469,0.20015832781791687
1988-02-25,-32.90352371,-25.41251304626465,0.06942310929298401
1988-02-26,-29.11477211,-23.5870125579834,0.21485185623168945
